geom,seed,sigma_deg,dt,nav_type,T_FP,sustained,nis_mean,nees_mean,nis_inlier_frac,nees_inlier_frac,rmse_dist,final_pos_err,est_dist_bias,total_delta_v,peak_accel,are_fallback_count,wall_time_s,n_steps
crosstrack,9,0.001,5.0,ukf,17520.0,True,1.9731242462159522,4.384508614856743,0.9971738535873826,1.0,13.61123079764694,1.0277750479208479e-08,-0.0004646852380105243,0.059038753059684805,1.842865218655672e-05,1,83.38604159999522,10971
crosstrack,1,0.008,10.0,jacobian,17510.0,True,3.161253478803416,1545.0142976502354,0.9562363238512035,0.5160466812545588,62.59775525227318,1.1028799582006175e-07,0.004707265854236313,0.05887780062018423,1.8601519500564823e-05,0,38.71792110000388,5486
crosstrack,3,0.008,10.0,jacobian,17510.0,True,2.0536062488497,51.542498962819195,0.9965353756382203,0.6084974471188913,142.98346712434318,3.1692838263682195e-07,0.012763312707064952,0.05875707186576042,1.8272917270324933e-05,0,42.880944800010184,5486
crosstrack,9,0.008,10.0,jacobian,17510.0,True,2.0098096735509734,3.8039154897236025,0.9976294675419402,1.0,17.539803005076244,3.7455078303944035e-07,0.0007473061450828509,0.05907312693356262,1.847348214571942e-05,0,32.725830699986545,5486
crosstrack,1,0.008,10.0,ukf,17510.0,True,2.016149134067911,9.257519580080302,0.9981765134938001,0.9923413566739606,41.919965888349864,1.1005271094099947e-07,0.0020277050664485557,0.05903965730280309,1.8527183549130312e-05,0,39.747719799983315,5486
crosstrack,3,0.008,10.0,ukf,17510.0,True,2.0089133674410857,6.496738049197098,0.9963530269876003,1.0,53.459817052541624,3.198869217906064e-07,0.002632762239875988,0.059013881520555055,1.844115101702332e-05,0,45.07667439998477,5486
crosstrack,9,0.008,10.0,ukf,17510.0,True,2.0096615924753913,3.7638090838482645,0.9976294675419402,1.0,19.923033530923,3.727147137463087e-07,-7.312585019599427e-07,0.05909355876656983,1.849144010352571e-05,2,48.24495839999872,5486
crosstrack,1,0.008,5.0,jacobian,17500.0,True,4.5417508418064285,7355.231583554137,0.9122982951955511,0.5070653660315434,249.80628646627753,9.097998228593671e-08,0.024631323702784556,0.05822953797999117,1.7883779124816287e-05,1,82.07695099999546,10971
crosstrack,3,0.008,5.0,jacobian,17520.0,True,2.0611027548998266,73.05856656612306,0.9962621934542802,0.5325006837450998,42.386933538559745,7.555737007748988e-08,-0.0017185417982762562,0.05910051462625523,1.859453942931684e-05,0,75.40173479999066,10971
crosstrack,9,0.008,5.0,jacobian,17525.0,True,2.0065950229089657,98.45754645506443,0.9969003555474519,0.5427112772358464,46.58343030919492,8.236227368947335e-08,-0.005172556494426794,0.059192567500518385,1.8697715140229398e-05,0,59.6090251999849,10971
crosstrack,1,0.008,5.0,ukf,17520.0,True,2.015646992697158,7.172956093917526,0.9968091895341417,0.9948035372413164,35.84616343174139,9.377447690743154e-08,-0.0009484728591313817,0.05903931413726798,1.842360189687586e-05,0,83.30584460002137,10971
crosstrack,3,0.008,5.0,ukf,17520.0,True,2.030117793368928,9.551498386215457,0.9966268575075212,0.9700975476342419,33.8570660430193,7.875717430743203e-08,0.001046639422379602,0.058987630700730424,1.840594229821976e-05,0,78.67889229999855,10971
crosstrack,9,0.008,5.0,ukf,17520.0,True,1.973254961097381,4.623016363753749,0.9971738535873826,1.0,25.98666886047164,8.143902735322618e-08,-0.002942050837570584,0.059109563438137974,1.851623966201027e-05,0,95.02772010001354,10971
