geometry,seed,sigma_theta_deg,jacobian_T_FP,ukf_T_FP,delta_T_FP,jacobian_v_FP,ukf_v_FP,delta_v_FP,jacobian_T_soft,ukf_T_soft,delta_T_soft,jacobian_T_sustain,ukf_T_sustain,delta_T_sustain,jacobian_total_delta_v,ukf_total_delta_v,delta_total_delta_v,jacobian_peak_accel,ukf_peak_accel,delta_peak_accel,jacobian_control_energy,ukf_control_energy,delta_control_energy,jacobian_rmse_pos_x,ukf_rmse_pos_x,delta_rmse_pos_x,jacobian_rmse_pos_y,ukf_rmse_pos_y,delta_rmse_pos_y,jacobian_rmse_pos_z,ukf_rmse_pos_z,delta_rmse_pos_z,jacobian_rmse_dist,ukf_rmse_dist,delta_rmse_dist,jacobian_final_pos_err,ukf_final_pos_err,delta_final_pos_err,jacobian_final_vel_err,ukf_final_vel_err,delta_final_vel_err,jacobian_est_dist_bias,ukf_est_dist_bias,delta_est_dist_bias,jacobian_est_radial_vel_bias,ukf_est_radial_vel_bias,delta_est_radial_vel_bias,jacobian_nis_mean,ukf_nis_mean,delta_nis_mean,jacobian_nees_mean,ukf_nees_mean,delta_nees_mean,jacobian_nis_inlier_frac,ukf_nis_inlier_frac,delta_nis_inlier_frac,jacobian_nees_inlier_frac,ukf_nees_inlier_frac,delta_nees_inlier_frac,jacobian_are_fallback_count,ukf_are_fallback_count,delta_are_fallback_count,jacobian_exit_count,ukf_exit_count,delta_exit_count,jacobian_time_in_sphere_frac,ukf_time_in_sphere_frac,delta_time_in_sphere_frac,jacobian_P_eig_min,ukf_P_eig_min,delta_P_eig_min,jacobian_P_cond,ukf_P_cond,delta_P_cond,jacobian_sustained,ukf_sustained
alongtrack,3,0.008,17580.0,17580.0,0.0,7.306828974925985e-05,7.306908206183232e-05,7.923125724707296e-10,17580.0,17580.0,0.0,17580.0,17580.0,0.0,0.029624854451187062,0.02962498638620893,1.3193502186592543e-07,1.1809565677141488e-05,1.1812499198136215e-05,2.9335209947275916e-09,1.5924437212417513e-07,1.5924992690358716e-07,5.554779412034272e-12,23.320847230808727,23.291340513161202,-0.029506717647524994,193.6635029836983,193.58233718021654,-0.08116580348175262,11.168790434200533,11.154858287706626,-0.013932146493907283,195.38207743609118,195.29730841584552,-0.08476902024565902,2.893586226316829e-07,2.8928139414117623e-07,-7.722849050665624e-11,3.438884059648555e-10,3.4409366992233623e-10,2.052639574807433e-13,-0.02674986978025345,-0.026755351673576042,-5.481893322591136e-06,-9.792366198443482e-06,-9.790912263010809e-06,1.4539354326730951e-09,2.0106776312821224,2.010680506159574,2.874877451652935e-06,6.8661518430004085,6.859375621811312,-0.0067762211890967095,,0.9963530269876003,,,0.99945295404814,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,2.10039952814395e-29,,,2327671919.2643285,,True,True
alongtrack,3,0.1,17540.0,17540.0,0.0,7.309810563091245e-05,7.309374268671708e-05,-4.3629441953636555e-09,17540.0,17540.0,0.0,17540.0,17540.0,0.0,0.029631626577606502,0.02963026637374769,-1.360203858810638e-06,1.1800865139886599e-05,1.180346240388612e-05,2.5972639995214378e-09,1.5733074492757365e-07,1.573529766979856e-07,2.2231770411950897e-11,54.37008252020257,54.015709586808555,-0.35437293339401776,238.8628777658908,237.95219425971558,-0.9106835061752179,19.118967758372637,19.01995066384091,-0.09901709453172813,245.71755162381507,244.74619947699864,-0.9713521468164288,3.697015389879471e-06,3.6919154167610407e-06,-5.09997311843042e-09,4.360466246847419e-09,4.3556829718670804e-09,-4.783274980338607e-12,-0.03829521570310664,-0.03815157293131161,0.00014364277179503004,-9.928954838852859e-06,-9.891423634894209e-06,3.7531203958649723e-08,2.010446324856447,2.0104376519960487,-8.672860398295512e-06,7.2833205533302925,7.279594588032367,-0.003725965297925349,,0.9963530269876003,,,0.99981765134938,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.0885248486130596e-27,,,2373855622.0421095,,True,True
alongtrack,4,0.001,17570.0,17570.0,0.0,7.354427724362027e-05,7.354439081940162e-05,1.1357578134810024e-10,17570.0,17570.0,0.0,17570.0,17570.0,0.0,0.02954709171257858,0.029547301007037115,2.0929445853495876e-07,1.2625305576234057e-05,1.2620064715369322e-05,-5.240860864735045e-09,1.665556222113927e-07,1.6653281997452552e-07,-2.2802236867174627e-11,6.057231161330264,5.990475301730065,-0.0667558596001987,112.96724002048461,112.50138275058848,-0.46585726989613363,4.112585871528367,4.073370576139087,-0.0392152953892797,113.20424342637632,112.73437480638103,-0.46986861999529594,4.939513154356126e-09,5.745249680766672e-09,8.057365264105463e-10,4.2473059893923914e-12,4.353993577013738e-12,1.0668758762134639e-13,0.01101067167151487,0.010960292464148896,-5.037920736597305e-05,2.8514748573537793e-06,2.8206560280601564e-06,-3.081882929362291e-08,1.9750073647707347,1.9748692740686025,-0.00013809070213222085,5.618970026864406,5.635775318464304,0.016805291599897743,,0.9961706783369803,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.423151117409107e-31,,,2356435317.891326,,True,True
alongtrack,4,0.008,17570.0,17570.0,0.0,7.35433894479523e-05,7.35401098169173e-05,-3.2796310350086642e-09,17570.0,17570.0,0.0,17570.0,17570.0,0.0,0.02952738686501476,0.029527194442940254,-1.924220745068428e-07,1.2769435589440744e-05,1.2766850506285895e-05,-2.5850831548486107e-09,1.6712241081921838e-07,1.6709646808188972e-07,-2.5942737328658903e-11,9.846641875886277,9.789590601453947,-0.0570512744323306,112.93559901659522,112.33911418100537,-0.5964848355898482,4.911424787508349,4.878846961473291,-0.03257782603505799,113.47038369069037,112.87034954668347,-0.6000341440068979,4.361842847149898e-08,4.462748221984557e-08,1.0090537483465874e-09,3.286293237523031e-11,3.3137854192777954e-11,2.7492181754764193e-13,0.012586756679423465,0.012465910207737064,-0.00012084647168640085,3.6386026962954106e-06,3.614337005450385e-06,-2.4265690845025665e-08,1.9739360398201424,1.9739145330365648,-2.1506783577596167e-05,5.502737735441484,5.509727600901469,0.006989865459984479,,0.9959883296863603,,,1.0,,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,,2.2143144476090478e-29,,,2343857704.7045417,,True,True
alongtrack,4,0.1,17630.0,17630.0,0.0,7.383138332053034e-05,7.381590487709185e-05,-1.5478443438491957e-08,17630.0,17630.0,0.0,17630.0,17630.0,0.0,0.029641147598572868,0.02963873598942782,-2.4116091450476773e-06,1.2660289181029445e-05,1.2661292670244445e-05,1.003489215000599e-09,1.692938062517477e-07,1.6929988913984705e-07,6.082888099341089e-12,37.515311139524606,37.780653207399155,0.26534206787454906,140.97042065234976,141.48051993715225,0.510099284802493,10.759029785313707,10.835432153262232,0.07640236794852484,146.2730829329752,146.83842095450575,0.5653380215305503,5.847751119289474e-07,5.799067252227057e-07,-4.86838670624171e-09,4.453381384700415e-10,4.430374658046118e-10,-2.300672665429691e-12,0.020370669008230348,0.020408698712814973,3.802970458462521e-05,2.220316258378168e-06,2.246424299639629e-06,2.6108041261460755e-08,1.97395527433649,1.9739741947538711,1.892041738105199e-05,5.3864700905707945,5.400047266387838,0.013577175817043319,,0.9959883296863603,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.5065878015113046e-27,,,2328894211.52945,,True,True
alongtrack,5,0.001,17540.0,17540.0,0.0,7.336380079699265e-05,7.336787128973938e-05,4.070492746726241e-09,17540.0,17540.0,0.0,17540.0,17540.0,0.0,0.02948428555480879,0.02948461726551887,3.317107100768435e-07,1.2485873904170386e-05,1.2484941858981177e-05,-9.320451892088987e-10,1.6459968320895863e-07,1.6462733099637316e-07,2.7647787414528586e-11,2.418570851882989,2.3891412952978963,-0.02942955658509261,34.717417962486934,33.20438682384873,-1.5130311386382047,1.4075464026731215,1.372052612120842,-0.035493790552279414,34.83001265895932,33.31849079485902,-1.5115218641003025,9.366035941759086e-09,8.23968267271082e-09,-1.126353269048266e-09,1.5047519634033495e-11,1.3542882314097984e-11,-1.5046373199355112e-12,-0.0005981312112798848,-0.00033670694945565254,0.0002614242618242322,2.6338352116174765e-06,2.690315622510035e-06,5.6480410892558525e-08,2.020393001835934,2.020356372435284,-3.662940064996789e-05,7.089463953179969,7.112696142957993,0.02323218977802366,,0.9958059810357404,,,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.392007896682445e-31,,,2357472804.9315624,,True,True
alongtrack,5,0.008,17530.0,17530.0,0.0,7.3129450144796e-05,7.313104039644674e-05,1.590251650740275e-09,17530.0,17530.0,0.0,17530.0,17530.0,0.0,0.029396384503587655,0.029396502915793946,1.1841220629027482e-07,1.2703671388900921e-05,1.2706664006782921e-05,2.992617881999757e-09,1.6700482598972158e-07,1.6702851972737822e-07,2.36937376566404e-11,13.482604107389802,13.509745658094674,0.02714155070487223,78.29661324798073,78.96452624082882,0.6679129928480876,5.843841198237044,5.870228375277249,0.026387177040205323,79.66360988287367,80.32664074491639,0.6630308620427172,7.316078438101902e-08,7.464548812905474e-08,1.4847037480357178e-09,1.1840582553685296e-10,1.2043381343063164e-10,2.027987893778681e-12,0.010314805814997335,0.010394680959144996,7.98751441476609e-05,8.399053558578452e-06,8.428004574923864e-06,2.8951016345411814e-08,2.0203919132066304,2.020370817745469,-2.1095461161468876e-05,7.087613713123762,7.082296946578942,-0.005316766544820162,,0.9958059810357404,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,2.2014285154050848e-29,,,2354852458.175759,,True,True
alongtrack,5,0.1,17460.0,17460.0,0.0,7.247533207515428e-05,7.247261316871488e-05,-2.7189064394014806e-09,17460.0,17460.0,0.0,17460.0,17460.0,0.0,0.02894550406976531,0.02894473579742111,-7.682723441974904e-07,1.2666988608637252e-05,1.2666828853773578e-05,-1.5975486367368087e-10,1.6678224125564965e-07,1.6678906431048426e-07,6.82305483461128e-12,49.40445645104868,49.53673871206616,0.13228226101747964,130.2579967963447,130.67007345050777,0.4120766541630587,15.627817371343326,15.649949642396264,0.02213227105293747,140.18621445210712,140.61819761893602,0.4319831668288998,9.411248099200436e-07,9.370571025779959e-07,-4.06770734204763e-09,1.5037793203174029e-09,1.500070528808317e-09,-3.708791509085942e-12,0.023636596076672213,0.02363239277971893,-4.2032969532826425e-06,1.718582073881704e-05,1.7182028849030087e-05,-3.7918897869524564e-09,2.0204278214007925,2.020423288381475,-4.533019317687348e-06,7.043347016301961,7.0422225666867035,-0.0011244496152578165,,0.9958059810357404,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.418802480164382e-27,,,2355242526.067173,,True,True
alongtrack,6,0.001,17570.0,17570.0,0.0,7.336716643139257e-05,7.336826045830716e-05,1.0940269145931535e-09,17570.0,17570.0,0.0,17570.0,17570.0,0.0,0.029556371761858297,0.029556547891117974,1.7612925967691595e-07,1.2334018602019784e-05,1.2335139013833161e-05,1.1204118133772658e-09,1.6396224106222018e-07,1.6395926435937612e-07,-2.9767028440596417e-12,2.4460792544298884,2.4493929595926938,0.0033137051628053804,47.074868054501,47.232417442712645,0.15754938821164188,1.5372462169039982,1.5442928136869014,0.007046596782903203,47.16343532864222,47.32109068531253,0.15765535667030406,7.173848159076025e-08,7.11853124770097e-08,-5.531691137505387e-10,8.008564415781581e-11,7.935752478571346e-11,-7.28119372102352e-13,-0.004279080972152356,-0.004288793133802066,-9.712161649709505e-06,-1.4697906569570154e-06,-1.483021715663758e-06,-1.3231058706742632e-08,2.0131882068931586,2.013209347762441,2.1140869282287866e-05,9.457644982600872,9.443334125460051,-0.014310857140820588,,0.9963530269876003,,,0.9287016776075857,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,3.3978158714427428e-31,,,2342676187.916371,,True,True
alongtrack,6,0.008,17570.0,17570.0,0.0,7.32464348383829e-05,7.324633110086969e-05,-1.037375132084857e-10,17570.0,17570.0,0.0,17570.0,17570.0,0.0,0.02954774223687548,0.029547779183508066,3.69466325866874e-08,1.2187561902161295e-05,1.2188319280371182e-05,7.573782098865383e-10,1.6218996932720117e-07,1.6218868748587922e-07,-1.2818413219480946e-12,11.982017984588012,11.986549931099015,0.004531946511002971,81.66685122253361,81.60524548315973,-0.06160573937387426,5.419210340902616,5.419022024852951,-0.00018831604966518256,82.71886836934712,82.65869143244001,-0.06017693690711212,5.686626951409469e-07,5.684695858634108e-07,-1.9310927753606808e-10,6.337410649286981e-10,6.333194447834134e-10,-4.2162014528472483e-13,-0.01049806505206716,-0.010518825224889644,-2.076017282248363e-05,-3.3353855236322376e-06,-3.337082716947283e-06,-1.6971933150452265e-09,2.013105604678068,2.0130909275747797,-1.467710328828531e-05,9.450595536097552,9.453848330014662,0.003252793917109642,,0.9963530269876003,,,0.9277899343544858,,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,,2.1524415856614804e-29,,,2348911808.2121897,,True,True
