seed,geometry,sigma_theta_deg,nav_type,T_FP,v_FP,T_soft,v_at_soft,T_sustain,sustained,exit_count,time_in_sphere_frac,total_delta_v,peak_accel,control_energy,rmse_pos_x,rmse_pos_y,rmse_pos_z,rmse_dist,final_pos_err,final_vel_err,est_dist_bias,est_radial_vel_bias,nis_mean,nees_mean,nis_inlier_frac,nees_inlier_frac,are_fallback_count,P_eig_min,P_cond,wall_time_s
9,alongtrack,0.1,ukf,17440.0,7.487790200664143e-05,17440.0,7.487790200664143e-05,17440.0,True,0,1.0,0.02941676709908053,1.1791167927772539e-05,1.576316237339591e-07,39.70143773435853,219.81774654203363,13.96269336618362,223.81019337606352,3.4091363407385117e-06,2.445184645774061e-09,-0.028635547776027104,-4.897227422829328e-06,2.0093898506453143,4.284048991474662,0.9976294675419402,1.0,0,3.417174538684999e-27,2392063043.919866,78.5879953999829
0,crosstrack,0.001,ukf,17510.0,0.00021574111944030412,18590.0,9.993134271331567e-05,20470.0,True,1,0.952597750401714,0.059003421542946854,1.835261364556309e-05,6.940333961397724e-07,1.6112812874506555,2.9820015475848147,56.00371073135577,56.10618661340709,3.61647665531846e-08,3.0947618058978994e-11,0.003982045373320344,4.8060647119467686e-06,2.0210799551470986,6.57383840321068,0.9972647702407003,1.0,0,1.991484934312615e-31,4997451822.666196,78.68993120000232
0,crosstrack,0.008,ukf,17510.0,0.0002154624752051679,18590.0,9.975533708249368e-05,20480.0,True,1,0.9520621317621853,0.05883708529625579,1.820331360618688e-05,6.891871090200902e-07,8.223891299719595,10.179800658167924,102.87439174046811,103.70342909239277,2.8365996898150327e-07,2.4204700565575157e-10,0.010198312361888619,8.98646441651702e-06,2.0215499679559388,6.572932636101938,0.9974471188913202,1.0,0,1.2359137334219855e-29,5080410182.3771305,78.64342819998274
0,crosstrack,0.1,ukf,17490.0,0.00021682262427258857,18590.0,9.936990487254963e-05,20500.0,True,1,0.9502141327623126,0.05853740978517527,1.8589324946122955e-05,6.867544233275271e-07,44.50247376361465,21.727496886927977,172.25470207830156,179.23235388773168,3.591236798801481e-06,3.0906505272058033e-09,0.026790017644315385,1.938140750610901e-05,2.021822166209504,6.388493070734961,0.9972647702407003,1.0,0,1.7521227581035576e-27,5266921309.376961,79.23783060000278
1,crosstrack,0.001,ukf,17510.0,0.00021579981494860098,18590.0,9.996953378091795e-05,20480.0,True,1,0.9523299410819497,0.059019720283233365,1.838334211331199e-05,6.945679365234245e-07,1.4358683488318091,2.7098633114929505,56.80224730919613,56.8849749622625,1.3715501904993974e-08,8.488778952543227e-12,0.003227703513494018,2.8440680593697492e-06,2.022111233310544,10.304411802046154,0.9981765134938001,0.9288840262582057,1,1.9618862619532945e-31,5070751283.801044,78.96023930000956
1,crosstrack,0.008,ukf,17510.0,0.0002158897768689775,18590.0,9.996603674090562e-05,20480.0,True,1,0.9520621317621853,0.05903965730280309,1.8527183549130312e-05,6.957116402701455e-07,5.288781537721865,1.8254446144206007,41.544916438552995,41.919965888349864,1.1005271094099947e-07,6.773083234285833e-11,0.0020277050664485557,3.998039583791237e-06,2.016149134067911,9.257519580080302,0.9981765134938001,0.9923413566739606,0,1.2636024635432276e-29,5036589959.22676,76.77017480001086
1,crosstrack,0.1,ukf,17500.0,0.0002164533602185631,18590.0,9.938016210736677e-05,20510.0,True,1,0.9507362784471218,0.058670466121324975,1.9000013768470008e-05,6.88817981919611e-07,32.33793098218617,11.45420955989337,132.96103649862692,137.3156142747058,1.4667420982661264e-06,9.043495887296825e-10,0.018645989315506675,-1.1861613279494693e-06,2.0164968939951016,12.19299517348751,0.9983588621444202,0.7828227571115973,1,1.769795421024497e-27,5341848167.850216,76.64656620001188
2,crosstrack,0.001,ukf,17510.0,0.00021572984744936156,18590.0,9.995424928569843e-05,20480.0,True,1,0.9523299410819497,0.05891655903222623,1.828823655847309e-05,6.91110956342998e-07,2.55638887594514,5.206143545075599,102.25537361368067,102.41972704303798,8.168024790367161e-09,6.674190816500211e-12,0.0056304570203811605,3.414740113176299e-06,2.023447412521853,6.643845090497232,0.9974471188913202,0.9952589350838804,0,1.9310231536039367e-31,5121354862.080875,76.69939799999702
2,crosstrack,0.008,ukf,17510.0,0.00021571246807893058,18590.0,9.998190091580085e-05,20480.0,True,1,0.9520621317621853,0.05881494807817204,1.8331806051262257e-05,6.876634883821326e-07,7.269155341362786,9.7997092750998,135.8339449769145,136.38084736958038,6.398212931573824e-08,5.815435190665754e-11,0.009127081840967107,4.643245840333214e-06,2.021821744413656,6.623415352428815,0.9974471188913202,0.9961706783369803,0,1.2424826249168716e-29,5072940294.360927,76.3783267000108
2,crosstrack,0.1,ukf,17500.0,0.00021746501333269936,18610.0,9.901172797710938e-05,20530.0,True,1,0.9496653279785809,0.0585199266101696,1.936918549096429e-05,6.853432259362563e-07,45.49775151676088,17.76426797998952,157.92768267175367,165.30809890630258,8.356691548546989e-07,7.396020442331948e-10,0.024131469827219528,1.1631380570706904e-05,2.020851135771926,7.10380138537907,0.9974471188913202,0.9941648431801605,0,1.8754654136075455e-27,5211468312.645511,76.73430869998992
3,crosstrack,0.001,ukf,17510.0,0.00021589269683592552,18600.0,9.904584343506281e-05,20480.0,True,1,0.9523299410819497,0.05904536399625865,1.841807665058528e-05,6.954536386576162e-07,1.0993186899250587,1.6089725428511075,24.562567111479346,24.63974426270683,4.126142959020274e-08,4.414777167204695e-11,0.0014509871345614652,-4.517425092546087e-07,2.008822200180976,6.513918067363908,0.9963530269876003,1.0,0,1.9565063997457702e-31,5088688971.040084,76.35020049999002
3,crosstrack,0.008,ukf,17510.0,0.00021580117744652387,18590.0,9.99541975599692e-05,20480.0,True,1,0.9523299410819497,0.059013881520555055,1.844115101702332e-05,6.941399418247094e-07,4.568005209477102,5.16746518205671,53.01304246399787,53.459817052541624,3.198869217906064e-07,3.4147678422328825e-10,0.002632762239875988,-1.3461472542755055e-06,2.0089133674410857,6.496738049197098,0.9963530269876003,1.0,0,1.2510152740679743e-29,5066316376.605898,76.00742119998904
3,crosstrack,0.1,ukf,17510.0,0.00021507581298976867,18580.0,9.998916830588088e-05,20460.0,True,1,0.9528655597214784,0.059028304227357165,1.855554212456302e-05,6.936868984742929e-07,10.946759243737034,6.337537840311127,42.38432172656189,44.23151198001742,3.9020922472605e-06,4.138383601383277e-09,0.0014665221258126579,-1.4825089772064285e-06,2.0090580712410353,6.920797130388214,0.9963530269876003,1.0,1,1.821749577338976e-27,5107477216.9499,75.744658599986
4,crosstrack,0.001,ukf,17510.0,0.00021588162992451868,18600.0,9.90495965245787e-05,20480.0,True,1,0.9523299410819497,0.05903527013135985,1.8407285261035274e-05,6.950283845091107e-07,1.1370324854210403,1.983057663889596,38.24013872379828,38.3084007782438,1.592145007155163e-08,1.7857187045776913e-11,0.0023756142821202515,-3.918159108335038e-08,1.9723001344772138,5.34172508267151,0.9959883296863603,1.0,0,2.0001985603089454e-31,4984576873.811233,64.71224169997731
4,crosstrack,0.008,ukf,17510.0,0.00021581120811949985,18600.0,9.904855350589066e-05,20480.0,True,1,0.9523299410819497,0.058985188600970385,1.8410282341119483e-05,6.93445022662601e-07,3.833261530379672,4.124787038498274,50.115501568768785,50.430856224761044,1.1766182394784517e-07,1.308004569799659e-10,0.003992998371517922,-8.403617697064332e-07,1.97232110333246,5.218632923489899,0.9959883296863603,1.0,0,1.2642232705077439e-29,5049803164.536414,64.79664829999092
4,crosstrack,0.1,ukf,17510.0,0.0002151967092274092,18590.0,9.999300127597702e-05,20480.0,True,1,0.9520621317621853,0.058826449578899,1.8646092588452077e-05,6.913188798723333e-07,19.45846634384119,9.752145850424775,80.29736300686889,83.19496839953266,1.4946795260847322e-06,1.6608483368952685e-09,0.010902231779926953,-1.8113378562636386e-06,1.972884134435814,5.406773564396766,0.9959883296863603,1.0,0,2.033068731156738e-27,5028415819.950455,64.53131630001008
5,crosstrack,0.001,ukf,17510.0,0.00021593354953589598,18600.0,9.907755034680509e-05,20480.0,True,1,0.9523299410819497,0.05906370720507079,1.843267014336607e-05,6.960516581396517e-07,1.187728771183015,2.012600915302008,32.608130016499125,32.69176356899519,1.210943447810891e-08,2.2594870804330785e-11,0.0005982032520860345,-1.9979909708452672e-07,2.0185809053405603,7.045025843197554,0.9956236323851203,1.0,1,2.000652590904305e-31,4992062839.779697,64.65682350000134
