time_orbits,dist_km,u_p_norm,u_e_norm,P_diff_frobenius
0.177214,1.25432212e+03,2.11638568e-04,1.04440206e-04,9.31520672e+06
0.178307,1.25125976e+03,1.99486506e-04,9.87113941e-05,9.46219200e+06
0.179401,1.24805228e+03,1.88904405e-04,9.32166779e-05,8.75712096e+06
0.180495,1.24470016e+03,1.78065848e-04,8.79657675e-05,8.77838026e+06
0.181589,1.24120400e+03,1.68045207e-04,8.29846481e-05,9.32508940e+06
0.182683,1.23756446e+03,1.58075126e-04,7.82978876e-05,9.01628923e+06
0.183777,1.23378227e+03,1.49038402e-04,7.39322838e-05,8.77071357e+06
0.184871,1.22985831e+03,1.41055414e-04,6.99194141e-05,8.90817009e+06
0.185965,1.22579352e+03,1.33584026e-04,6.62949679e-05,8.43774743e+06
0.187059,1.22158894e+03,1.27537664e-04,6.30974346e-05,7.96950059e+06
0.188153,1.21724571e+03,1.21893059e-04,6.03652940e-05,7.91114456e+06
0.189247,1.21276508e+03,1.17171489e-04,5.81405235e-05,8.23565207e+06
0.190340,1.20814836e+03,1.13711341e-04,5.64578279e-05,8.42453552e+06
0.191434,1.20339697e+03,1.11393110e-04,5.53403750e-05,8.20236424e+06
0.192528,1.19851244e+03,1.10307544e-04,5.47981189e-05,8.23135884e+06
0.193622,1.19349641e+03,1.10683085e-04,5.48265328e-05,7.74562076e+06
0.194716,1.18835065e+03,1.11480271e-04,5.54031901e-05,8.17174481e+06
0.195810,1.18307695e+03,1.13683523e-04,5.64961498e-05,8.01572166e+06
0.196904,1.17767729e+03,1.16924639e-04,5.80570319e-05,7.87789616e+06
0.197998,1.17215372e+03,1.20999429e-04,6.00339470e-05,8.12425275e+06
0.199092,1.16650845e+03,1.25522495e-04,6.23733384e-05,8.35397105e+06
0.200186,1.16074373e+03,1.30852523e-04,6.50241914e-05,7.80842073e+06
0.201280,1.15486197e+03,1.36530944e-04,6.79390610e-05,7.91675680e+06
0.202373,1.14886569e+03,1.42951293e-04,7.10745166e-05,8.05430935e+06
0.203467,1.14275751e+03,1.49639719e-04,7.43934204e-05,7.56516204e+06
