time_orbits,dist_km,u_p_norm,u_e_norm
0.323798,6.95114446e+02,4.11849837e-04,2.05924919e-04
0.325985,6.97191531e+02,3.81093389e-04,1.90546694e-04
0.328173,6.99198117e+02,3.50414619e-04,1.75207309e-04
0.330361,7.01099543e+02,3.20151041e-04,1.60075520e-04
0.332549,7.02863035e+02,2.90648775e-04,1.45324388e-04
0.334737,7.04457673e+02,2.62267058e-04,1.31133529e-04
0.336925,7.05854339e+02,2.35385000e-04,1.17692500e-04
0.339112,7.07025676e+02,2.10410284e-04,1.05205142e-04
0.341300,7.07946054e+02,1.87787938e-04,9.38939689e-05
0.343488,7.08591554e+02,1.68003673e-04,8.40018365e-05
0.345676,7.08939982e+02,1.51569620e-04,7.57848101e-05
0.347864,7.08970916e+02,1.38973318e-04,6.94866588e-05
0.350051,7.08665795e+02,1.30576055e-04,6.52880274e-05
0.352239,7.08008038e+02,1.26483400e-04,6.32417000e-05
0.354427,7.06983210e+02,1.26466467e-04,6.32332335e-05
0.356615,7.05579205e+02,1.30011188e-04,6.50055938e-05
0.358803,7.03786456e+02,1.36476306e-04,6.82381529e-05
0.360991,7.01598144e+02,1.45257484e-04,7.26287421e-05
0.363178,6.99010400e+02,1.55880582e-04,7.79402909e-05
0.365366,6.96022493e+02,1.68020263e-04,8.40101314e-05
0.367554,6.92636991e+02,1.81476784e-04,9.07383920e-05
0.369742,6.88859889e+02,1.96140849e-04,9.80704246e-05
0.371930,6.84700718e+02,2.11962148e-04,1.05981074e-04
0.374117,6.80172618e+02,2.28926561e-04,1.14463281e-04
0.376305,6.75292395e+02,2.47041802e-04,1.23520901e-04
0.378493,6.70080553e+02,2.66329436e-04,1.33164718e-04
0.380681,6.64561312e+02,2.86821098e-04,1.43410549e-04
0.382869,6.58762592e+02,3.08557141e-04,1.54278570e-04
0.385057,6.52715994e+02,3.31586513e-04,1.65793257e-04
0.387244,6.46456735e+02,3.55967099e-04,1.77983549e-04
0.389432,6.40023555e+02,3.81766017e-04,1.90883009e-04
0.391620,6.33458588e+02,4.09059525e-04,2.04529762e-04
