time_orbits,dist_km,u_p_norm,u_e_norm
0.167368,1.23794567e+03,3.16572546e-04,1.56281849e-04
0.168462,1.23604467e+03,3.01911443e-04,1.49175734e-04
0.169556,1.23400248e+03,2.87757044e-04,1.42242495e-04
0.170650,1.23181905e+03,2.74007771e-04,1.35485074e-04
0.171744,1.22949444e+03,2.60891194e-04,1.28909358e-04
0.172838,1.22702874e+03,2.47917069e-04,1.22510628e-04
0.173932,1.22442208e+03,2.35341611e-04,1.16301951e-04
0.175026,1.22167464e+03,2.23580245e-04,1.10299131e-04
0.176120,1.21878670e+03,2.11219737e-04,1.04479836e-04
0.177214,1.21575861e+03,2.00677036e-04,9.89047906e-05
0.178307,1.21259080e+03,1.89258755e-04,9.35236275e-05
0.179401,1.20928380e+03,1.79382078e-04,8.84108760e-05
0.180495,1.20583819e+03,1.69291338e-04,8.35338238e-05
0.181589,1.20225463e+03,1.60019524e-04,7.89385781e-05
0.182683,1.19853389e+03,1.50822796e-04,7.46314535e-05
0.183777,1.19467678e+03,1.42557893e-04,7.06475897e-05
0.184871,1.19068424e+03,1.35328745e-04,6.70122351e-05
0.185965,1.18655731e+03,1.28581134e-04,6.37582495e-05
0.187059,1.18229709e+03,1.23209957e-04,6.09099140e-05
0.188153,1.17790484e+03,1.18204481e-04,5.84926987e-05
0.189247,1.17338185e+03,1.14046631e-04,5.65477846e-05
0.190340,1.16872953e+03,1.11045005e-04,5.50998036e-05
0.191434,1.16394938e+03,1.09072878e-04,5.41576611e-05
0.192528,1.15904302e+03,1.08194755e-04,5.37328373e-05
0.193622,1.15401217e+03,1.08627046e-04,5.38029251e-05
0.194716,1.14885866e+03,1.09380609e-04,5.43613836e-05
0.195810,1.14358442e+03,1.11393320e-04,5.53673116e-05
0.196904,1.13819147e+03,1.14318942e-04,5.67869118e-05
0.197998,1.13268199e+03,1.17994977e-04,5.85641355e-05
0.199092,1.12705824e+03,1.22041540e-04,6.06804881e-05
0.200186,1.12132260e+03,1.26831537e-04,6.30654529e-05
0.201280,1.11547755e+03,1.31937110e-04,6.56830613e-05
0.202373,1.10952571e+03,1.37715758e-04,6.85152275e-05
0.203467,1.10346980e+03,1.43745438e-04,7.15140092e-05
0.204561,1.09731265e+03,1.50017890e-04,7.46436672e-05
0.205655,1.09105727e+03,1.56420364e-04,7.78992486e-05
0.206749,1.08470671e+03,1.63162673e-04,8.12525348e-05
0.207843,1.07826411e+03,1.69891425e-04,8.46896261e-05
0.208937,1.07173271e+03,1.77181974e-04,8.81887090e-05
0.210031,1.06511599e+03,1.84435989e-04,9.17279483e-05
0.211125,1.05841754e+03,1.91286529e-04,9.52942445e-05
0.212219,1.05164101e+03,1.98585441e-04,9.89014612e-05
0.213313,1.04479025e+03,2.05932415e-04,1.02536040e-04
0.214407,1.03786912e+03,2.13049434e-04,1.06167675e-04
0.215500,1.03088167e+03,2.20460164e-04,1.09818723e-04
0.216594,1.02383210e+03,2.28001681e-04,1.13488165e-04
0.217688,1.01672464e+03,2.35496559e-04,1.17152449e-04
0.218782,1.00956370e+03,2.42932587e-04,1.20813123e-04
0.219876,1.00235383e+03,2.50307835e-04,1.24465091e-04
0.220970,9.95099659e+02,2.57580020e-04,1.28096396e-04
0.222064,9.87805871e+02,2.65007299e-04,1.31729016e-04
