time_orbits,dist_km,u_p_norm,u_e_norm
0.159711,1.27835451e+03,4.30956602e-04,2.15113499e-04
0.160805,1.27764224e+03,4.14794617e-04,2.06871575e-04
0.161899,1.27678743e+03,3.98671114e-04,1.98764617e-04
0.162993,1.27578952e+03,3.83041189e-04,1.90799662e-04
0.164087,1.27464795e+03,3.67811873e-04,1.82980317e-04
0.165181,1.27336225e+03,3.52660969e-04,1.75302893e-04
0.166274,1.27193208e+03,3.37540648e-04,1.67769327e-04
0.167368,1.27035718e+03,3.22325542e-04,1.60372787e-04
0.168462,1.26863731e+03,3.07493595e-04,1.53139121e-04
0.169556,1.26677234e+03,2.93146556e-04,1.46068094e-04
0.170650,1.26476215e+03,2.79188424e-04,1.39162921e-04
0.171744,1.26260675e+03,2.65847245e-04,1.32429528e-04
0.172838,1.26030615e+03,2.52629283e-04,1.25864038e-04
0.173932,1.25786044e+03,2.39792086e-04,1.19479955e-04
0.175026,1.25526974e+03,2.27764729e-04,1.13293457e-04
0.176120,1.25253427e+03,2.15106659e-04,1.07283121e-04
0.177214,1.24965430e+03,2.04281661e-04,1.01509190e-04
0.178307,1.24663025e+03,1.92550900e-04,9.59239015e-05
0.179401,1.24346256e+03,1.82372474e-04,9.06026767e-05
0.180495,1.24015179e+03,1.71970963e-04,8.55162011e-05
0.181589,1.23669853e+03,1.62398491e-04,8.07128939e-05
0.182683,1.23310350e+03,1.52899143e-04,7.62034831e-05
0.183777,1.22936746e+03,1.44365648e-04,7.20271701e-05
0.184871,1.22549132e+03,1.36917060e-04,6.82141948e-05
0.185965,1.22147605e+03,1.29981266e-04,6.48050903e-05
0.187059,1.21732271e+03,1.24511490e-04,6.18297633e-05
0.188153,1.21303251e+03,1.19472391e-04,5.93220515e-05
0.189247,1.20860668e+03,1.16107476e-04,5.73279124e-05
0.190340,1.20404655e+03,1.13252831e-04,5.58771030e-05
0.191434,1.19935356e+03,1.11534591e-04,5.49850421e-05
0.192528,1.19452927e+03,1.10964417e-04,5.46621921e-05
0.193622,1.18957535e+03,1.11820559e-04,5.48854639e-05
0.194716,1.18449355e+03,1.13047648e-04,5.56443898e-05
0.195810,1.17928573e+03,1.15598139e-04,5.68897726e-05
0.196904,1.17395384e+03,1.19119747e-04,5.85795603e-05
0.197998,1.16849997e+03,1.23378116e-04,6.06468792e-05
0.199092,1.16292632e+03,1.28051826e-04,6.30714202e-05
0.200186,1.15723516e+03,1.33456525e-04,6.57726464e-05
0.201280,1.15142891e+03,1.39159904e-04,6.87128348e-05
0.202373,1.14551008e+03,1.45572599e-04,7.18697918e-05
0.203467,1.13948129e+03,1.52217205e-04,7.51932668e-05
0.204561,1.13334529e+03,1.59071077e-04,7.86425039e-05
0.205655,1.12710502e+03,1.65834372e-04,8.22132498e-05
0.206749,1.12076351e+03,1.72554346e-04,8.58841133e-05
0.207843,1.11432385e+03,1.79880095e-04,8.96394369e-05
0.208937,1.10778917e+03,1.87792949e-04,9.34537111e-05
0.210031,1.10116281e+03,1.95621541e-04,9.72960539e-05
0.211125,1.09444828e+03,2.02980491e-04,1.01159017e-04
0.212219,1.08764910e+03,2.10834069e-04,1.05062708e-04
0.213313,1.08076899e+03,2.18722577e-04,1.08985846e-04
0.214407,1.07381170e+03,2.26341902e-04,1.12904541e-04
0.215500,1.06678116e+03,2.34291048e-04,1.16841034e-04
0.216594,1.05968143e+03,2.42371842e-04,1.20787161e-04
0.217688,1.05251662e+03,2.50401809e-04,1.24727632e-04
0.218782,1.04529101e+03,2.58354250e-04,1.28656670e-04
0.219876,1.03800901e+03,2.66230615e-04,1.32572488e-04
0.220970,1.03067510e+03,2.73963137e-04,1.36464261e-04
0.222064,1.02329386e+03,2.81903945e-04,1.40361010e-04
0.223158,1.01587003e+03,2.89629988e-04,1.44227514e-04
0.224252,1.00840840e+03,2.97062601e-04,1.48056442e-04
0.225346,1.00091387e+03,3.04603368e-04,1.51877921e-04
0.226440,9.93391498e+02,3.12120432e-04,1.55675594e-04
0.227533,9.85846316e+02,3.19848829e-04,1.59462541e-04
0.228627,9.78283412e+02,3.27478765e-04,1.63222901e-04
0.229721,9.70707990e+02,3.34920468e-04,1.66954088e-04
0.230815,9.63125369e+02,3.42130065e-04,1.70654848e-04
0.231909,9.55540988e+02,3.49518642e-04,1.74355113e-04
0.233003,9.47960417e+02,3.57046922e-04,1.78044961e-04
0.234097,9.40389285e+02,3.64548039e-04,1.81713169e-04
0.235191,9.32833295e+02,3.71678225e-04,1.85344194e-04
0.236285,9.25298065e+02,3.79238318e-04,1.88957338e-04
0.237379,9.17789249e+02,3.85946391e-04,1.92561124e-04
0.238473,9.10312895e+02,3.92960999e-04,1.96126283e-04
0.239566,9.02874739e+02,4.00305136e-04,1.99690794e-04
0.240660,8.95480610e+02,4.07031299e-04,2.03262998e-04
0.241754,8.88136634e+02,4.13775465e-04,2.06826578e-04
0.242848,8.80848784e+02,4.20840603e-04,2.10368516e-04
0.243942,8.73622917e+02,4.28251412e-04,2.13939519e-04
0.245036,8.66464970e+02,4.35232642e-04,2.17478235e-04
0.246130,8.59380956e+02,4.41522491e-04,2.21039968e-04
