seed,geometry,sigma_theta_deg,T_FP,v_FP,radial_closure_rate_FP,T_soft,v_at_soft,T_sustain,sustained,max_dist_after_FP,min_dist_after_FP,exit_count,time_in_sphere_frac,total_delta_v,peak_accel,control_energy,rmse_pos_x,rmse_pos_y,rmse_pos_z,rmse_dist,final_pos_err,final_vel_err,est_dist_bias,est_radial_vel_bias,nis_mean,nees_mean,are_fallback_count,controller_mean_step_ms
4,radial,0.001,20500.0,5.365393943371868e-05,4.4210646862436545e-05,20500.0,5.365393943371868e-05,20500.0,True,0.0995730974435262,4.5253322653034866e-07,0,1.0,0.10994662210053384,0.0001163474315493565,6.834845042836188e-06,37.04342510801713,0.48170744370242335,0.6626765523452961,37.05248339865521,4.714529214352897e-09,8.785222247774189e-12,-0.0016092855599577655,-4.6076569387143915e-07,1.9726415117370615,5.677213676901509,0,4.259775510867195
3,radial,0.008,20480.0,5.45011510951936e-05,4.5083416714444366e-05,20480.0,5.45011510951936e-05,20480.0,True,0.09974663133847136,4.955416900183347e-07,0,1.0,0.11042951676560506,0.00012150630765733103,6.804839731637423e-06,51.294616251571384,3.838608130879204,4.076937531531045,51.59936034888833,8.044049476912637e-08,1.0542222913041501e-10,-0.003254532502015008,-9.074765733372733e-06,2.0106938879580922,5.6286574665657145,0,4.352369711793878
4,radial,0.1,20530.0,5.4430566041021074e-05,4.509894248066948e-05,20530.0,5.4430566041021074e-05,20530.0,True,0.09961058861828377,5.428490488378819e-07,0,1.0,0.11138818277080634,0.0001163474315493565,6.827530483118122e-06,106.89392305312906,23.470661734986166,9.98740051139955,109.89509050426923,4.4102046724103743e-07,7.040228222812534e-10,-0.005108278834712835,-3.913606808595128e-07,1.9728068568735762,5.774250406485702,0,4.293165499621751
3,radial,0.1,20340.0,5.564103970909989e-05,4.623155026128928e-05,20340.0,5.564103970909989e-05,20340.0,True,0.09973236051851551,9.049587928040361e-07,0,1.0,0.11053327241751974,0.00012150630765733103,6.706849008194783e-06,105.70077874791515,27.32430904315705,12.807184442573485,109.92404862425585,1.6260455132342478e-06,2.020686281946905e-09,-0.011045035051191079,-2.268514106438539e-05,2.0102556853424614,5.657154050680712,0,4.1966740701307765
6,radial,0.001,20490.0,5.292818971183464e-05,4.3405141857291696e-05,20490.0,5.292818971183464e-05,20490.0,True,0.09983822179835351,4.484076404108369e-07,0,1.0,0.10924488376798674,0.00012442743024969872,6.84941248911006e-06,39.518999090928894,0.38402137628137756,0.7963616901989101,39.52888758247438,4.0575534751396094e-08,5.2691593330879376e-11,0.0018720465717301867,1.1633626154452481e-06,2.0129962121211924,7.969324244668731,0,4.295587691560456
5,radial,0.001,20490.0,5.2959798815510665e-05,4.3457176368680464e-05,20490.0,5.2959798815510665e-05,20490.0,True,0.09971232228524045,4.5220472912523953e-07,0,1.0,0.10924586194338094,0.00012652045284647877,6.846707610044006e-06,38.65126770722698,0.47489101897001373,0.7914602335831528,38.66228687179496,1.679851876420016e-08,2.3206232658001106e-11,0.0014159204687615274,1.0529750710576027e-06,2.0197021636083443,9.748899242033984,0,4.232787418078889
5,radial,0.008,20480.0,5.329699571437944e-05,4.376401572305506e-05,20480.0,5.329699571437944e-05,20480.0,True,0.09984875283861405,4.6995162305188856e-07,0,1.0,0.1092339886649491,0.00012652045284647877,6.837315766199375e-06,44.19108570080174,2.713030694417801,2.353921869842266,44.33681922661773,1.3640636975079772e-07,1.8560030773989508e-10,0.0008447809562885942,2.313442453449954e-07,2.019308937686152,9.765109854366383,0,4.221510375656259
5,radial,0.1,20550.0,5.423945209272501e-05,4.445024697874679e-05,20550.0,5.423945209272501e-05,20550.0,True,0.0996503601197328,4.624888987169207e-07,0,1.0,0.10846963917904676,0.00012652045284647877,6.879746681893919e-06,75.14610432181941,7.274451256372006,5.2139882788765375,75.67721129639594,1.4742873709981188e-06,2.0104300610216044e-09,0.004411445590581145,4.269155404239673e-06,2.0192704587029486,9.805393467492935,0,4.2926240337249295
6,radial,0.008,20500.0,5.229441688576207e-05,4.274017638006483e-05,20500.0,5.229441688576207e-05,20500.0,True,0.09977737597339233,4.3403803547888607e-07,0,1.0,0.10880033367111884,0.00012413513497234682,6.8727282916175595e-06,72.21794272840046,2.7790326752082684,2.760290887299384,72.32408644645926,3.1119130398381684e-07,4.05309356383554e-10,0.004534443773205434,3.3831357157920892e-06,2.012892949133868,7.7215362024833345,0,4.245939970785661
4,radial,0.008,20500.0,5.398122650904179e-05,4.451419242933498e-05,20500.0,5.398122650904179e-05,20500.0,True,0.09988552203841027,4.5495892795552735e-07,0,1.0,0.11029865259195926,0.0001163474315493565,6.83522364006353e-06,61.75316510010404,3.7282732254133717,2.7068014224740056,61.92479467115535,3.518863057809913e-08,6.086866968028607e-11,-0.003119652126173165,5.124194296242404e-07,1.9728953516722394,5.747781257155968,0,4.301697301249465
