time_orbits,dist,err_x,err_y,err_z,err_vx,err_vy,err_vz,P_trace,u_p_norm
0.090248,1.04335535e+03,9.72133713e-01,-9.59107461e+00,-3.07407847e+00,-7.38652301e-03,2.60240352e-03,9.10942712e-04,4.52222076e+00,1.65165213e-03
0.091889,1.04896683e+03,8.24918124e-01,-9.57623793e+00,-3.02708129e+00,-7.16125246e-03,2.82184664e-03,1.19742882e-03,4.47550090e+00,1.62468565e-03
0.093529,1.05455654e+03,4.72933608e-01,-9.48118932e+00,-3.10036375e+00,-7.23009230e-03,3.13072351e-03,7.70863183e-04,4.43231821e+00,1.59713409e-03
0.095170,1.06011183e+03,4.14144693e-02,-9.24432665e+00,-3.10821538e+00,-7.21021685e-03,3.99241474e-03,8.95225050e-04,4.39322641e+00,1.56807590e-03
0.096811,1.06562053e+03,-5.00331428e-02,-9.23230978e+00,-3.10286859e+00,-6.95000093e-03,4.10362654e-03,8.60150051e-04,4.35847822e+00,1.54012352e-03
0.098452,1.07106975e+03,3.85156649e-01,-9.50353534e+00,-3.06949405e+00,-6.12218158e-03,3.80788648e-03,7.68429744e-04,4.32699864e+00,1.51260666e-03
0.100093,1.07644608e+03,2.73345838e-01,-9.52292303e+00,-3.03047066e+00,-5.91797422e-03,3.71392103e-03,9.86746221e-04,4.29905576e+00,1.48163197e-03
0.101734,1.08173702e+03,1.82766798e-01,-9.59052400e+00,-3.07661113e+00,-5.81853449e-03,3.43462849e-03,6.45420754e-04,4.27411604e+00,1.45133115e-03
0.103375,1.08693024e+03,-3.37833973e-01,-9.15720222e+00,-3.08583436e+00,-5.80414588e-03,4.80594387e-03,7.50342712e-04,4.25242290e+00,1.42062488e-03
0.105015,1.09201461e+03,-5.75319583e-01,-8.96032215e+00,-3.10677443e+00,-5.59602482e-03,5.39160947e-03,6.65163954e-04,4.23426157e+00,1.38787674e-03
0.106656,1.09697940e+03,-8.50846001e-01,-8.73241351e+00,-3.15161390e+00,-5.46261342e-03,5.92935795e-03,4.56921791e-04,4.21896282e+00,1.35510114e-03
0.108297,1.10181383e+03,-4.96767373e-01,-8.85624455e+00,-3.13936886e+00,-4.46371020e-03,6.18277034e-03,5.22845690e-04,4.20678611e+00,1.32425434e-03
0.109938,1.10650642e+03,-6.23336282e-01,-8.75249430e+00,-3.06840111e+00,-4.25289829e-03,6.18461226e-03,9.69028966e-04,4.19764713e+00,1.29281072e-03
0.111579,1.11104667e+03,-8.28746802e-01,-8.67255643e+00,-3.04799012e+00,-4.27434356e-03,5.87188710e-03,1.04274037e-03,4.18966797e+00,1.25834084e-03
0.113220,1.11542339e+03,-1.00853758e+00,-8.51397402e+00,-3.01051890e+00,-4.11653363e-03,6.08672855e-03,1.22043726e-03,4.18329415e+00,1.22629275e-03
0.114861,1.11962805e+03,-1.43863694e+00,-8.09714317e+00,-3.01061495e+00,-4.20651779e-03,6.79755302e-03,1.12702255e-03,4.17928500e+00,1.19217214e-03
0.116501,1.12365229e+03,-1.43780307e+00,-8.06238683e+00,-2.95303205e+00,-3.81252945e-03,6.75452212e-03,1.38999013e-03,4.17775317e+00,1.15963374e-03
