time_orbits,dist,err_x,err_y,err_z,err_vx,err_vy,err_vz,P_trace,u_p_norm
0.073839,9.89003979e+02,5.27963241e-01,-9.09958680e+00,-3.51363463e+00,-1.23389694e-02,4.56897957e-04,-3.84830409e-04,8.12962051e-03,1.82947222e-03
0.075480,9.94212419e+02,2.71714411e-01,-9.08572171e+00,-3.48995936e+00,-1.22562592e-02,1.01020436e-03,-9.57280286e-05,8.19932107e-03,1.81900798e-03
0.077121,9.99526794e+02,-1.89751386e-02,-9.16176627e+00,-3.43346443e+00,-1.25933662e-02,1.00321254e-03,3.37940196e-04,8.26973662e-03,1.80608446e-03
0.078762,1.00493666e+03,-2.34226094e-01,-9.07329530e+00,-3.51737553e+00,-1.22299533e-02,1.97379556e-03,-1.53109061e-04,8.34064505e-03,1.79226193e-03
0.080402,1.01043068e+03,-4.78201298e-01,-9.00352891e+00,-3.47890028e+00,-1.19500131e-02,2.61782697e-03,2.68783166e-04,8.41204876e-03,1.77632385e-03
0.082043,1.01599696e+03,-6.59866262e-01,-8.84147249e+00,-3.46740489e+00,-1.12175586e-02,3.71977415e-03,4.04296701e-04,8.48387809e-03,1.75939797e-03
0.083684,1.02162285e+03,-8.93108321e-01,-8.75445572e+00,-3.52216163e+00,-1.10819347e-02,4.18080674e-03,1.17340027e-04,8.55592530e-03,1.74076977e-03
0.085325,1.02729574e+03,-1.11710316e+00,-8.68507863e+00,-3.49076565e+00,-1.09226523e-02,4.52741014e-03,3.70167687e-04,8.62794276e-03,1.71968438e-03
0.086966,1.03300287e+03,-1.31019029e+00,-8.54363867e+00,-3.45490038e+00,-1.04804892e-02,5.22673077e-03,6.35707741e-04,8.69993570e-03,1.69744182e-03
0.088607,1.03873126e+03,-1.48081308e+00,-8.36708033e+00,-3.44380680e+00,-9.87673862e-03,5.96390100e-03,7.03787498e-04,8.77178132e-03,1.67504866e-03
0.090248,1.04446755e+03,-1.64280026e+00,-8.13381920e+00,-3.39370628e+00,-9.37130276e-03,6.94516900e-03,9.99587951e-04,8.84332240e-03,1.65118240e-03
0.091889,1.05019845e+03,-1.85688582e+00,-8.06943079e+00,-3.34847515e+00,-9.10891074e-03,6.68763226e-03,1.18387373e-03,8.91440309e-03,1.62514411e-03
0.093529,1.05591072e+03,-2.04660812e+00,-7.97138549e+00,-3.34861430e+00,-8.83501554e-03,6.69469148e-03,1.08201581e-03,8.98492677e-03,1.59874223e-03
0.095170,1.06159120e+03,-2.23268483e+00,-7.79850000e+00,-3.25376601e+00,-8.60153933e-03,7.16972912e-03,1.59708587e-03,9.05464456e-03,1.57076321e-03
0.096811,1.06722712e+03,-2.40707040e+00,-7.70991969e+00,-3.26654350e+00,-8.34502356e-03,7.05965113e-03,1.36673135e-03,9.12352696e-03,1.54230476e-03
0.098452,1.07280433e+03,-2.59514717e+00,-7.54172471e+00,-3.25785282e+00,-8.16429861e-03,7.51586436e-03,1.29369150e-03,9.19156609e-03,1.51255770e-03
0.100093,1.07831148e+03,-2.76208282e+00,-7.42874285e+00,-3.20963059e+00,-7.87595862e-03,7.56108298e-03,1.46771300e-03,9.25833535e-03,1.48245015e-03
0.101734,1.08373651e+03,-2.91924792e+00,-7.24718833e+00,-3.18072328e+00,-7.61774599e-03,8.06917571e-03,1.50810808e-03,9.32399596e-03,1.45233392e-03
0.103375,1.08906728e+03,-3.04088211e+00,-7.06252320e+00,-3.09844773e+00,-7.08495798e-03,8.42339854e-03,1.90669597e-03,9.38822482e-03,1.42201228e-03
0.105015,1.09429185e+03,-3.14452024e+00,-6.83949738e+00,-3.04978797e+00,-6.40445434e-03,8.91367573e-03,2.00261067e-03,9.45087521e-03,1.39056867e-03
0.106656,1.09939851e+03,-3.22553015e+00,-6.62777759e+00,-3.00074853e+00,-5.73648054e-03,9.18938761e-03,2.08581605e-03,9.51202475e-03,1.35991172e-03
0.108297,1.10437576e+03,-3.32990079e+00,-6.40646435e+00,-2.98931978e+00,-5.35989567e-03,9.49631976e-03,1.94137577e-03,9.57151217e-03,1.32875556e-03
0.109938,1.10921266e+03,-3.46016295e+00,-6.23626944e+00,-2.99041174e+00,-5.20858225e-03,9.50504741e-03,1.71629271e-03,9.62893824e-03,1.29624423e-03
0.111579,1.11389876e+03,-3.58041432e+00,-6.06208455e+00,-2.97321255e+00,-4.95721126e-03,9.45925438e-03,1.65662820e-03,9.68437534e-03,1.26367444e-03
0.113220,1.11842389e+03,-3.68937878e+00,-5.89320960e+00,-2.95522994e+00,-4.77707823e-03,9.44297146e-03,1.62089030e-03,9.73788354e-03,1.23177444e-03
0.114861,1.12277821e+03,-3.74599236e+00,-5.67627534e+00,-2.93126154e+00,-4.13723404e-03,9.60760968e-03,1.58977768e-03,9.78916636e-03,1.19897544e-03
0.116501,1.12695217e+03,-3.86355706e+00,-5.48951454e+00,-2.79561166e+00,-4.13200689e-03,9.71164117e-03,2.25476734e-03,9.83818867e-03,1.16651479e-03
0.118142,1.13093679e+03,-3.93711082e+00,-5.30949400e+00,-2.71835515e+00,-3.62195797e-03,9.50633420e-03,2.43807738e-03,9.88462240e-03,1.13404195e-03
0.119783,1.13467021e+03,-4.07137437e+00,-5.14369091e+00,-2.72271894e+00,-3.53869993e-03,9.41069561e-03,2.08772769e-03,9.92855827e-03,1.09461998e-03
0.121424,1.13814599e+03,-4.10475861e+00,-4.89961290e+00,-2.72018974e+00,-3.09832727e-03,9.87114087e-03,1.90898649e-03,9.96916635e-03,1.06230953e-03
0.123065,1.14140990e+03,-4.16123417e+00,-4.68755262e+00,-2.64493885e+00,-2.84530058e-03,1.00474475e-02,2.20385937e-03,1.00067788e-02,1.03026612e-03
0.124706,1.14445429e+03,-4.17129345e+00,-4.45283397e+00,-2.58909191e+00,-2.30966622e-03,1.02879713e-02,2.27693400e-03,1.00416204e-02,9.98586039e-04
0.126347,1.14727182e+03,-4.21148631e+00,-4.23996842e+00,-2.63949592e+00,-1.96655186e-03,1.02361790e-02,1.70765678e-03,1.00735860e-02,9.67189278e-04
0.127988,1.14985541e+03,-4.24266028e+00,-4.02673879e+00,-2.51423917e+00,-1.68121009e-03,1.02904672e-02,2.22841714e-03,1.01027645e-02,9.35555056e-04
0.129628,1.15219848e+03,-4.31142346e+00,-3.86604043e+00,-2.44056296e+00,-1.67774252e-03,1.00384441e-02,2.40484362e-03,1.01287917e-02,9.04321948e-04
0.131269,1.15429490e+03,-4.33806230e+00,-3.66004941e+00,-2.38837018e+00,-1.34392860e-03,1.00147932e-02,2.42491139e-03,1.01518411e-02,8.73191958e-04
0.132910,1.15613882e+03,-4.34737155e+00,-3.45613030e+00,-2.36299331e+00,-1.00235429e-03,1.00342394e-02,2.25044270e-03,1.01717916e-02,8.42782333e-04
0.134551,1.15772473e+03,-4.39600348e+00,-3.27089623e+00,-2.32251549e+00,-8.73017527e-04,9.81705343e-03,2.15539204e-03,1.01885223e-02,8.12744033e-04
0.136192,1.15904744e+03,-4.40369030e+00,-3.09341865e+00,-2.19905079e+00,-6.02448001e-04,9.64440109e-03,2.62831640e-03,1.02020455e-02,7.83270175e-04
0.137833,1.16010208e+03,-4.42146112e+00,-2.88646009e+00,-2.14333826e+00,-4.46716615e-04,9.67877745e-03,2.64734988e-03,1.02123204e-02,7.54078163e-04
0.139474,1.16088422e+03,-4.42757444e+00,-2.70893302e+00,-2.12899984e+00,-2.35272053e-04,9.48192266e-03,2.37980742e-03,1.02191663e-02,7.25242759e-04
0.141114,1.16138976e+03,-4.40660283e+00,-2.49038620e+00,-2.10556513e+00,9.99784301e-05,9.63248033e-03,2.22343960e-03,1.02225869e-02,6.96531655e-04
0.142755,1.16161500e+03,-4.42845757e+00,-2.32154641e+00,-2.05533923e+00,1.27228041e-04,9.48471285e-03,2.23947291e-03,1.02227157e-02,6.68217284e-04
0.144396,1.16155652e+03,-4.50902643e+00,-2.16827752e+00,-1.96980233e+00,-2.72346502e-04,9.33161073e-03,2.52243148e-03,1.02192545e-02,6.40489591e-04
0.146037,1.16121135e+03,-4.46418824e+00,-1.95243942e+00,-1.86501945e+00,2.33927762e-04,9.46173176e-03,2.80026884e-03,1.02122975e-02,6.13259229e-04
0.147678,1.16057670e+03,-4.40197784e+00,-1.76033597e+00,-1.86550631e+00,7.71371820e-04,9.36058090e-03,2.44366181e-03,1.02018442e-02,5.87402897e-04
0.149319,1.15965002e+03,-4.47108215e+00,-1.58685604e+00,-1.91151147e+00,3.92515171e-04,9.29890446e-03,1.85365064e-03,1.01878468e-02,5.60970669e-04
0.150960,1.15842927e+03,-4.41899055e+00,-1.37383570e+00,-1.89388973e+00,8.10582383e-04,9.50894739e-03,1.79779335e-03,1.01701712e-02,5.35678523e-04
0.152601,1.15691260e+03,-4.38655989e+00,-1.18285912e+00,-1.79367962e+00,1.10443380e-03,9.35227832e-03,2.19504408e-03,1.01489469e-02,5.11019981e-04
0.154241,1.15509848e+03,-4.40531523e+00,-1.04407457e+00,-1.69961186e+00,1.07252870e-03,8.84996651e-03,2.46954158e-03,1.01241540e-02,4.86435121e-04
0.155882,1.15298562e+03,-4.33832232e+00,-8.40232379e-01,-1.62295451e+00,1.56730207e-03,8.85767013e-03,2.56313747e-03,1.00958668e-02,4.62493978e-04
0.157523,1.15057306e+03,-4.27571015e+00,-6.68390282e-01,-1.50730771e+00,1.87336202e-03,8.66832366e-03,2.90715724e-03,1.00639422e-02,4.39786221e-04
0.159164,1.14786011e+03,-4.25372982e+00,-4.94399900e-01,-1.49803017e+00,1.90212128e-03,8.57721511e-03,2.55451345e-03,1.00284270e-02,4.16772630e-04
0.160805,1.14484647e+03,-4.23020298e+00,-3.04558245e-01,-1.45543888e+00,1.93799239e-03,8.60468261e-03,2.44694134e-03,9.98935485e-03,3.94540663e-04
0.162446,1.14153217e+03,-4.24686315e+00,-1.87502858e-01,-1.40683788e+00,1.68814651e-03,8.16880638e-03,2.41385448e-03,9.94661878e-03,3.73108702e-04
0.164087,1.13791745e+03,-4.14474521e+00,2.08864773e-02,-1.36007200e+00,2.22563571e-03,8.30991395e-03,2.36279352e-03,9.90042438e-03,3.52431845e-04
0.165727,1.13400289e+03,-4.09892886e+00,2.05222340e-01,-1.36592189e+00,2.25540061e-03,8.40489315e-03,2.04917306e-03,9.85062416e-03,3.32514267e-04
0.167368,1.12978937e+03,-4.11531263e+00,3.61320667e-01,-1.34142402e+00,1.89287898e-03,8.33792221e-03,1.97793185e-03,9.79728776e-03,3.12857442e-04
0.169009,1.12527814e+03,-4.11596338e+00,4.93738760e-01,-1.24081305e+00,1.72686856e-03,8.08699384e-03,2.38768264e-03,9.74045620e-03,2.93212695e-04
0.170650,1.12047068e+03,-4.06206995e+00,6.37413400e-01,-1.22537320e+00,1.99399580e-03,7.68674429e-03,2.12705148e-03,9.68022565e-03,2.74956952e-04
0.172291,1.11536870e+03,-3.98572339e+00,8.12475626e-01,-1.16996448e+00,2.34164295e-03,7.57480106e-03,2.17190413e-03,9.61670049e-03,2.57725060e-04
0.173932,1.10997416e+03,-4.02204074e+00,9.67949812e-01,-1.17950716e+00,1.83566283e-03,7.48407813e-03,1.84543489e-03,9.54972354e-03,2.40974433e-04
0.175573,1.10428943e+03,-4.01989349e+00,1.10909488e+00,-1.15659627e+00,1.70930472e-03,7.33871030e-03,1.73978813e-03,9.47939122e-03,2.24269283e-04
