time_orbits,dist,err_x,err_y,err_z,err_vx,err_vy,err_vz,P_trace,u_p_norm
0.173932,1.11295077e+03,-4.08401316e+00,9.15031617e-01,-1.18882188e+00,1.79377821e-03,7.75190152e-03,2.11745049e-03,9.58396936e-03,2.45391306e-04
0.175573,1.10731880e+03,-4.05931381e+00,1.04191486e+00,-1.16155793e+00,1.82806463e-03,7.43517387e-03,1.97889857e-03,9.51424194e-03,2.29211906e-04
0.177214,1.10139750e+03,-4.04378339e+00,1.18622464e+00,-1.08954984e+00,1.75714925e-03,7.33774769e-03,2.22571116e-03,9.44125474e-03,2.13969986e-04
0.178854,1.09518976e+03,-4.01513822e+00,1.32996596e+00,-1.02280536e+00,1.79706551e-03,7.26131412e-03,2.34118735e-03,9.36510642e-03,1.98905502e-04
0.180495,1.08869877e+03,-3.97664011e+00,1.45015710e+00,-9.34887914e-01,1.91425591e-03,7.00540568e-03,2.56161420e-03,9.28577102e-03,1.84935796e-04
0.182136,1.08192801e+03,-3.85670141e+00,1.62379441e+00,-8.95276709e-01,2.47902254e-03,7.12526575e-03,2.45839355e-03,9.20331773e-03,1.72441331e-04
0.183777,1.07488132e+03,-3.79417153e+00,1.77200657e+00,-8.59260843e-01,2.58736456e-03,7.05870180e-03,2.33651726e-03,9.11781526e-03,1.60693565e-04
0.185418,1.06756279e+03,-3.72061288e+00,1.90532095e+00,-8.11387527e-01,2.75241573e-03,6.87411261e-03,2.31878571e-03,9.02935628e-03,1.50147716e-04
0.187059,1.05997681e+03,-3.74585480e+00,2.02974365e+00,-7.97005912e-01,2.25959038e-03,6.68832222e-03,2.11649039e-03,8.93800687e-03,1.40837736e-04
0.188700,1.05212807e+03,-3.72658134e+00,2.14940025e+00,-7.74500023e-01,2.12814583e-03,6.47391852e-03,1.97453596e-03,8.84389619e-03,1.32611741e-04
0.190340,1.04402154e+03,-3.71709498e+00,2.24363872e+00,-6.40573419e-01,1.96023672e-03,6.16915079e-03,2.53385671e-03,8.74714199e-03,1.25824918e-04
0.191981,1.03566252e+03,-3.73828766e+00,2.38052419e+00,-6.10961683e-01,1.62301099e-03,6.25594267e-03,2.36536831e-03,8.64782977e-03,1.20522042e-04
0.193622,1.02705664e+03,-3.61449018e+00,2.49245400e+00,-6.10141123e-01,2.25002344e-03,5.95241166e-03,2.04472147e-03,8.54575953e-03,1.17867661e-04
0.195263,1.01820987e+03,-3.57722602e+00,2.60824673e+00,-5.33271278e-01,2.25603386e-03,5.85055082e-03,2.26101316e-03,8.44140975e-03,1.16088110e-04
0.196904,1.00912847e+03,-3.51655162e+00,2.73113819e+00,-4.62047922e-01,2.37326676e-03,5.81643360e-03,2.39734719e-03,8.33476281e-03,1.16014879e-04
0.198545,9.99819068e+02,-3.53892863e+00,2.82695854e+00,-3.98060957e-01,1.97174944e-03,5.60535451e-03,2.49026728e-03,8.22583174e-03,1.17549745e-04
0.200186,9.90288535e+02,-3.64477298e+00,2.90133816e+00,-3.39423796e-01,1.10804849e-03,5.28891146e-03,2.54319544e-03,8.11481619e-03,1.20641963e-04
0.201827,9.80544032e+02,-3.58793843e+00,2.98068930e+00,-2.89265454e-01,1.39583803e-03,4.96075827e-03,2.49902364e-03,8.00185309e-03,1.24495633e-04
0.203467,9.70593101e+02,-3.55636150e+00,3.09347632e+00,-2.79320819e-01,1.48645574e-03,4.96762559e-03,2.22302602e-03,7.88709021e-03,1.29480544e-04
0.205108,9.60443624e+02,-3.48288586e+00,3.20096940e+00,-2.37277050e-01,1.84336387e-03,4.92821778e-03,2.18888665e-03,7.77042798e-03,1.35381394e-04
0.206749,9.50103897e+02,-3.47817385e+00,3.31652852e+00,-2.82292682e-01,1.66686485e-03,4.92567213e-03,1.60658983e-03,7.65209694e-03,1.41897574e-04
0.208390,9.39582472e+02,-3.41414901e+00,3.39263958e+00,-1.59029635e-01,1.90074828e-03,4.72715182e-03,2.20439689e-03,7.53243401e-03,1.48508834e-04
0.210031,9.28888252e+02,-3.34688710e+00,3.48692982e+00,-1.29056663e-01,2.10446193e-03,4.61365432e-03,2.09770291e-03,7.41123381e-03,1.55397451e-04
0.211672,9.18030571e+02,-3.31059791e+00,3.58376748e+00,-1.15783043e-01,2.07608025e-03,4.52148697e-03,1.90167703e-03,7.28869655e-03,1.62970124e-04
0.213313,9.07019008e+02,-3.28232103e+00,3.66406206e+00,-1.30446604e-01,2.00815593e-03,4.30782796e-03,1.52143776e-03,7.16517944e-03,1.70678435e-04
0.214953,8.95863396e+02,-3.30045335e+00,3.75280205e+00,-7.68010848e-02,1.65433067e-03,4.28090811e-03,1.67006667e-03,7.04071614e-03,1.78393913e-04
0.216594,8.84573960e+02,-3.21957259e+00,3.81510095e+00,-6.42977642e-03,1.96076251e-03,3.99392807e-03,1.88090422e-03,6.91529807e-03,1.85797810e-04
0.218235,8.73161333e+02,-3.18015623e+00,3.86286858e+00,5.29247472e-02,1.94564261e-03,3.63550224e-03,1.98831360e-03,6.78930848e-03,1.93598723e-04
0.219876,8.61636347e+02,-3.16910926e+00,3.93154410e+00,1.30925895e-01,1.73708883e-03,3.53730502e-03,2.22132756e-03,6.66277646e-03,2.01184756e-04
0.221517,8.50010229e+02,-3.17519751e+00,3.98586954e+00,1.39325259e-01,1.49397385e-03,3.29271262e-03,1.91355026e-03,6.53581023e-03,2.09214480e-04
0.223158,8.38294418e+02,-3.20276908e+00,4.07764757e+00,1.45097977e-01,1.12831554e-03,3.42026791e-03,1.68799028e-03,6.40860162e-03,2.16912035e-04
0.224799,8.26500732e+02,-3.17416984e+00,4.12593493e+00,2.11148225e-01,1.17179032e-03,3.18038951e-03,1.91050671e-03,6.28114327e-03,2.24352798e-04
