seed,dt,q_scale,F_rel_fro,F_max_abs,P_rel_fro,P_max_abs,P_trace_rel,mean_pos_diff_m,mean_vel_diff_m_s
9,2.0,0.0,6.031612037004094e-08,1.56787642153867e-07,2.089369826689198e-07,2.7509902298024643e-12,1.0916582578666771e-13,0.0,2.1684043449710089e-16
9,2.0,0.01,6.031612037004094e-08,1.56787642153867e-07,1.6260126166483868e-07,2.7509902298024643e-12,8.495436704819732e-14,0.0,2.1684043449710089e-16
9,2.0,0.1,6.031612037004094e-08,1.56787642153867e-07,5.427423457216096e-08,2.7509902298024643e-12,2.848897556840815e-14,0.0,2.1684043449710089e-16
9,2.0,1.0,6.031612037004094e-08,1.56787642153867e-07,7.083442216241545e-09,2.7509902298024643e-12,3.770438530311559e-15,0.0,2.1684043449710089e-16
9,5.0,0.0,7.108193704575133e-08,3.9196910534852734e-07,5.223375808653911e-07,6.877475566945846e-12,2.8642888607418214e-13,0.0,8.673617379884035e-16
9,5.0,0.01,7.108193704575133e-08,3.9196910534852734e-07,4.06500201040428e-07,6.877475566945846e-12,2.2320395637411625e-13,0.0,8.673617379884035e-16
9,5.0,0.1,7.108193704575133e-08,3.9196910534852734e-07,1.3568525729532782e-07,6.877475566945846e-12,7.449915926007752e-14,0.0,8.673617379884035e-16
9,5.0,1.0,7.108193704575133e-08,3.9196910534852734e-07,1.77085999147825e-08,6.877475566945846e-12,9.635562084420186e-15,0.0,8.673617379884035e-16
9,10.0,0.0,7.314275001858978e-08,7.839382107331946e-07,1.044640340502139e-06,1.3754951134525804e-11,9.225920906494074e-13,0.0,2.1852793414608445e-16
9,10.0,0.01,7.314275001858978e-08,7.839382107331946e-07,8.12979312539724e-07,1.3754951134525804e-11,7.178806380603421e-13,0.0,2.1852793414608445e-16
9,10.0,0.1,7.314275001858978e-08,7.839382107331946e-07,2.71368164815063e-07,1.3754951134525804e-11,2.395454919395946e-13,0.0,2.1852793414608445e-16
9,10.0,1.0,7.314275001858978e-08,7.839382107331946e-07,3.541715979699312e-08,1.3754951134525804e-11,3.142027564103823e-14,0.0,2.1852793414608445e-16
10,2.0,0.0,5.950081457466896e-07,1.4652572719460806e-06,2.0611665837357598e-06,2.570935043759768e-11,2.027806707277798e-12,0.0,1.734723475976807e-15
10,2.0,0.01,5.950081457466896e-07,1.4652572719460806e-06,1.6040639753527527e-06,2.570935043759768e-11,1.57826780479384e-12,0.0,1.734723475976807e-15
10,2.0,0.1,5.950081457466896e-07,1.4652572719460806e-06,5.354161682149295e-07,2.570935043759768e-11,5.267116703664417e-13,0.0,1.734723475976807e-15
10,2.0,1.0,5.950081457466896e-07,1.4652572719460806e-06,6.987826763640277e-08,2.570935043759768e-11,6.870576877453909e-14,0.0,1.734723475976807e-15
10,5.0,0.0,7.01223600141005e-07,3.663143180154321e-06,5.1528683665648906e-06,6.427337609214087e-11,1.2270227282274476e-11,0.0,1.734723475976807e-15
10,5.0,0.01,7.01223600141005e-07,3.663143180154321e-06,4.010130811424797e-06,6.427337609214087e-11,9.548881644771484e-12,0.0,1.734723475976807e-15
10,5.0,0.1,7.01223600141005e-07,3.663143180154321e-06,1.33853717553186e-06,6.427337609214087e-11,3.187280009217419e-12,0.0,1.734723475976807e-15
10,5.0,1.0,7.01223600141005e-07,3.663143180154321e-06,1.7469561384299272e-07,6.427337609214087e-11,4.1600491955676737e-13,0.0,1.734723475976807e-15
10,10.0,0.0,7.215530898199223e-07,7.3262863605977614e-06,1.030539322249893e-05,1.2854675220320702e-10,4.885605916872972e-11,0.0,0.0
10,10.0,0.01,7.215530898199223e-07,7.3262863605977614e-06,8.020053575808542e-06,1.2854675220320702e-10,3.802082591422643e-11,0.0,0.0
10,10.0,0.1,7.215530898199223e-07,7.3262863605977614e-06,2.6770511712900353e-06,1.2854675220320702e-10,1.2690427339193068e-11,0.0,0.0
10,10.0,1.0,7.215530898199223e-07,7.3262863605977614e-06,3.4939083287254477e-07,1.2854675220320702e-10,1.6564769317791957e-12,0.0,0.0
11,2.0,0.0,1.0295467255398688e-07,2.3381097515249268e-07,3.5664469515163285e-07,4.102438807786677e-12,1.1264162448502647e-13,0.0,1.7482234731686756e-15
11,2.0,0.01,1.0295467255398688e-07,2.3381097515249268e-07,2.775519999234628e-07,4.102438807786677e-12,8.775946407335094e-14,0.0,1.7482234731686756e-15
11,2.0,0.1,1.0295467255398688e-07,2.3381097515249268e-07,9.264333004297773e-08,4.102438807786677e-12,2.915773086343868e-14,0.0,1.7482234731686756e-15
11,2.0,1.0,1.0295467255398688e-07,2.3381097515249268e-07,1.2091071946986815e-08,4.102438807786677e-12,3.7704385303115165e-15,0.0,1.7482234731686756e-15
11,5.0,0.0,1.2133332184788924e-07,5.845274378812317e-07,8.916034162557707e-07,1.0256097019683138e-11,4.34856978497282e-13,0.0,0.0
11,5.0,0.01,1.2133332184788924e-07,5.845274378812317e-07,6.938749598603417e-07,1.0256097019683138e-11,3.378113738295458e-13,0.0,0.0
11,5.0,0.1,1.2133332184788924e-07,5.845274378812317e-07,2.3160776358422783e-07,1.0256097019683138e-11,1.1315312160500803e-13,0.0,0.0
11,5.0,1.0,1.2133332184788924e-07,5.845274378812317e-07,3.02276703027798e-08,1.0256097019683138e-11,1.4802457694905265e-14,0.0,0.0
11,10.0,0.0,1.2485085103365934e-07,1.1690548757624633e-06,1.7831473951374978e-06,2.0512194038933377e-11,1.5792325614603495e-12,0.0,0.0
11,10.0,0.01,1.2485085103365934e-07,1.1690548757624633e-06,1.3877139214847655e-06,2.0512194038933377e-11,1.2289924180384253e-12,0.0,0.0
11,10.0,0.1,1.2485085103365934e-07,1.1690548757624633e-06,4.6321151639941793e-07,2.0512194038933377e-11,4.10209951857644e-13,0.0,0.0
11,10.0,1.0,1.2485085103365934e-07,1.1690548757624633e-06,6.045527229515937e-08,2.0512194038933377e-11,5.390322843305378e-14,0.0,0.0
12,2.0,0.0,6.75721611426416e-07,1.4700365169593474e-06,2.340766669233325e-06,2.5793206891234052e-11,1.2125388125775326e-12,0.0,1.734723475976807e-15
12,2.0,0.01,6.75721611426416e-07,1.4700365169593474e-06,1.8216574625555421e-06,2.5793206891234052e-11,9.439151489583493e-13,0.0,1.734723475976807e-15
12,2.0,0.1,6.75721611426416e-07,1.4700365169593474e-06,6.080461087533772e-07,2.5793206891234052e-11,3.1498374395906705e-13,0.0,1.734723475976807e-15
12,2.0,1.0,6.75721611426416e-07,1.4700365169593474e-06,7.93573508704768e-08,2.5793206891234052e-11,4.0776594475936683e-14,0.0,1.734723475976807e-15
12,5.0,0.0,7.963452097998476e-07,3.675091292416438e-06,5.851862055559561e-06,6.448301723532838e-11,7.176041268983123e-12,0.0,1.7381083054899886e-15
12,5.0,0.01,7.963452097998476e-07,3.675091292416438e-06,4.5541105776764014e-06,6.448301723532838e-11,5.5843065238308736e-12,0.0,1.7381083054899886e-15
12,5.0,0.1,7.963452097998476e-07,3.675091292416438e-06,1.520111586498972e-06,6.448301723532838e-11,1.864217740998237e-12,0.0,1.7381083054899886e-15
12,5.0,1.0,7.963452097998476e-07,3.675091292416438e-06,1.9839331440937663e-07,6.448301723532838e-11,2.43263031173836e-13,0.0,1.7381083054899886e-15
12,10.0,0.0,8.194323884148861e-07,7.350182584832876e-06,1.1703334001043284e-05,1.2896603446373055e-10,2.8478835760705943e-11,0.0,3.471140604459642e-15
12,10.0,0.01,8.194323884148861e-07,7.350182584832876e-06,9.107984885472647e-06,1.2896603446373055e-10,2.216313714557651e-11,0.0,3.471140604459642e-15
12,10.0,0.1,8.194323884148861e-07,7.350182584832876e-06,3.0401968487113536e-06,1.2896603446373055e-10,7.397689088553729e-12,0.0,3.471140604459642e-15
