seed,q_scale,steps,status,error,sdc_rmse_pos_m,jac_rmse_pos_m,sdc_rmse_vel_m_s,jac_rmse_vel_m_s,state_pos_diff_m,state_vel_diff_m_s,P_rel_fro,nis_mean_abs_diff,sdc_min_P_eig,jac_min_P_eig
2,0.0,500,ok,,327.75911484402195,318.2372892844576,0.27694227548951333,0.2771074272724071,66.62302427145808,0.018790778561187174,0.008159552517495167,4.319006663609819,1.9255386055705835e-15,1.2248741478308768e-15
2,0.01,100,ok,,15.986858982712622,15.956858943932117,0.16731705199342542,0.1673571386721087,0.03859710472172701,3.887647135236696e-05,8.490517081857753e-05,0.0001711016220617978,5.293348144147539e-09,5.293599967619652e-09
2,0.01,500,ok,,99.36910305407847,98.5489806954581,0.15002052701107801,0.14989098025379055,2.3232670128831145,0.00081142991159914,0.004082102182278456,3.27467156637784e-05,6.433418107756346e-09,6.432982463532075e-09
2,0.1,100,ok,,16.898279556123203,16.895009181765236,0.17540726120429873,0.17541928041138544,0.014123218478885483,1.8783789694329737e-05,6.852575487403963e-05,3.3013290069439094e-06,5.260691064684534e-08,5.2607199449507325e-08
2,0.1,500,ok,,2119.429562671611,2114.912853177723,0.9637734833948998,0.9618799822991149,10.429561138598709,0.004052994360813559,0.004109853891032303,5.718751198147132e-06,5.533579973049683e-08,5.533583418129419e-08
2,1.0,100,ok,,18.829267718521905,18.830334187747805,0.1815425112245871,0.1815471813926473,0.007740976620919001,1.464657445252575e-05,6.635684744207046e-05,3.38048426890003e-08,5.256814166401357e-07,5.256817139469638e-07
2,1.0,500,ok,,17203.24624852837,17169.24830355123,7.313876404196538,7.298468874511918,103.94353505079002,0.04237665944837347,0.0037825440259078545,5.131893751497696e-05,5.312209765252687e-07,5.312234082340371e-07
3,0.0,100,ok,,25.689317563860715,26.16713846455782,0.09408292880844434,0.09377696033021451,1.738869467153198,0.003358639940614648,0.00499232987408444,0.09906412558380318,2.0923240114714818e-13,1.6465011253769266e-13
3,0.0,500,ok,,113.76540649807816,115.94705533011341,0.12278831051319594,0.12627296486197187,141.55079481542623,0.04905663692538047,0.016007550289806376,7.322979505165698,2.989600120918518e-15,9.383846089404504e-16
3,0.01,100,ok,,5.564454025850319,5.5571840350512405,0.10028885678723118,0.1003048300895216,0.09903162685768949,0.00011663341736573782,0.0005093026907846025,2.5871741060612408e-05,5.323247071203171e-09,5.3229862179983554e-09
3,0.01,500,ok,,150.80916517506765,151.3060370372538,0.11453602361711859,0.11469691567077979,0.5898242549438512,0.00011180853051275024,0.0005584809619506261,5.623576369462313e-06,6.0345067370061604e-09,6.034990420463723e-09
3,0.1,100,ok,,13.658127474141432,13.66541972665571,0.11005909601134305,0.11006301933093084,0.0292278854461549,4.797739864366532e-05,0.000517106430051289,1.214138083072136e-06,5.267448744427217e-08,5.2675354931009846e-08
3,0.1,500,ok,,2051.3330286254086,2051.0532455107577,0.8144628305671628,0.8141848486572365,1.0270316874515983,0.0007899455635949204,0.0005181987625213679,1.3328231345255404e-06,5.4184260394396296e-08,5.4186175885410725e-08
3,1.0,100,ok,,30.152159596509208,30.14477729639884,0.12420728984642121,0.12419896748559835,0.008079581301093021,1.1533873459777789e-05,0.0005171509813556674,1.1283770348646804e-07,5.259029311102908e-07,5.259038345670801e-07
3,1.0,500,ok,,14263.187613143611,14258.950145863024,5.416621649168892,5.413226056886643,11.556811366518755,0.008754867770605548,0.0005170329797322716,1.5707990945634798e-05,5.287271103756336e-07,5.287304186368916e-07
4,0.0,100,ok,,50.258705095366686,49.23387486014592,0.0882720899040291,0.08998093468473314,3.2302043559356215,0.004569577950448214,0.001466911787409774,0.3253623084426387,4.972375040206958e-13,5.312652578762958e-13
4,0.0,500,ok,,155.03709730012952,148.7427951583089,0.15915368661824358,0.1642257339278153,44.05125339734161,0.016175685386278685,0.010618620366760824,1.0701524035293577,6.584142840089349e-15,7.933865912081085e-15
4,0.01,100,ok,,46.505199990554885,46.44993655463133,0.12792256471795427,0.12797144814878142,0.09804099105740804,0.00012164868782108772,0.0003322290648083523,1.7845012845185693e-06,5.414213541039082e-09,5.414783090899948e-09
4,0.01,500,ok,,174.92171063110177,176.2052528083662,0.11008224366222681,0.11030190726110557,9.851982976125864,0.0036234375106861754,0.009378931892893043,6.946581513123107e-06,7.2140221032424485e-09,7.214780892104409e-09
4,0.1,100,ok,,39.48506793035887,39.475970051564495,0.14289579953800305,0.14290251600534032,0.010946324645963918,7.95138339390396e-06,0.00033002119717865313,2.1525555133905527e-06,5.2788604841582505e-08,5.278932087422503e-08
4,0.1,500,ok,,1755.750436916508,1746.6658724631225,0.8129406639138111,0.8090059833221467,36.80799098743988,0.01495869633337444,0.009433780816655987,4.769731574372216e-06,5.792305416303149e-08,5.7927702769487477e-08
